ticker,name,forecast_date,pred_day,pred_close,last_close,upside_pct
NU,Nu Holdings Ltd,2026-05-04,9,15.7786,15.05,4.84
NU,Nu Holdings Ltd,2026-05-05,10,15.9678,15.05,6.1
NU,Nu Holdings Ltd,2026-05-06,11,16.0288,15.05,6.5
NU,Nu Holdings Ltd,2026-05-07,12,16.1945,15.05,7.6
NU,Nu Holdings Ltd,2026-05-08,13,16.3097,15.05,8.37
NU,Nu Holdings Ltd,2026-05-11,14,16.4531,15.05,9.32
NU,Nu Holdings Ltd,2026-05-12,15,16.5602,15.05,10.03
NU,Nu Holdings Ltd,2026-05-13,16,16.6405,15.05,10.57
NU,Nu Holdings Ltd,2026-05-14,17,16.7245,15.05,11.13
NU,Nu Holdings Ltd,2026-05-15,18,16.8674,15.05,12.08
NU,Nu Holdings Ltd,2026-05-18,19,17.1065,15.05,13.66
NU,Nu Holdings Ltd,2026-05-19,20,16.9962,15.05,12.93
NU,Nu Holdings Ltd,2026-05-20,21,17.0175,15.05,13.07
NVDA,Nvidia Corp,2026-04-22,1,199.4601,199.88,-0.21
NVDA,Nvidia Corp,2026-04-23,2,199.1106,199.88,-0.38
NVDA,Nvidia Corp,2026-04-24,3,199.0432,199.88,-0.42
NVDA,Nvidia Corp,2026-04-27,4,199.8202,199.88,-0.03
NVDA,Nvidia Corp,2026-04-28,5,197.4465,199.88,-1.22
NVDA,Nvidia Corp,2026-04-29,6,195.5452,199.88,-2.17
NVDA,Nvidia Corp,2026-04-30,7,195.8943,199.88,-1.99
NVDA,Nvidia Corp,2026-05-01,8,195.8186,199.88,-2.03
NVDA,Nvidia Corp,2026-05-04,9,196.461,199.88,-1.71
NVDA,Nvidia Corp,2026-05-05,10,195.7278,199.88,-2.08
NVDA,Nvidia Corp,2026-05-06,11,195.5402,199.88,-2.17
NVDA,Nvidia Corp,2026-05-07,12,193.8433,199.88,-3.02
NVDA,Nvidia Corp,2026-05-08,13,192.2879,199.88,-3.8
NVDA,Nvidia Corp,2026-05-11,14,192.3817,199.88,-3.75
NVDA,Nvidia Corp,2026-05-12,15,191.0642,199.88,-4.41
NVDA,Nvidia Corp,2026-05-13,16,192.0083,199.88,-3.94
NVDA,Nvidia Corp,2026-05-14,17,191.6059,199.88,-4.14
NVDA,Nvidia Corp,2026-05-15,18,190.4583,199.88,-4.71
NVDA,Nvidia Corp,2026-05-18,19,189.794,199.88,-5.05
NVDA,Nvidia Corp,2026-05-19,20,189.4826,199.88,-5.2
NVDA,Nvidia Corp,2026-05-20,21,189.2319,199.88,-5.33
RSP,Invesco S&P 500 Equal Weight ETF,2026-04-23,1,202.7278,202.315,0.2
