ticker,name,last_close,rating,murphy_score,trend_score,osc_score,adx,plus_di,minus_di,rsi,stoch_k,stoch_d,williams_r,roc,macd,sma50,sma200,atr,sig_ma_cross,sig_ma_align,sig_adx_di,sig_macd,sig_obv,sig_donchian,sig_rsi,sig_stoch,sig_williams,sig_roc
KB,KB Financial Group,100.235,HOLD,-1,-2,1,14.65,26.83,35.5,43.16,10.73,10.01,-82.88,-0.52,-1.1996,105.7179,95.6602,3.6122,1,-1,0,-1,-1,0,0,1,1,-1
KEP,Korea Electric Power,12.33,HOLD,-1,-2,1,18.82,31.5,38.83,43.58,22.54,20.76,-74.18,3.61,-0.3558,13.678,15.994,0.4928,-1,-1,0,1,-1,0,0,0,0,1
NVDA,Nvidia Corp,194.15,HOLD,-1,-2,1,17.05,15.73,29.82,39.31,13.2,11.05,-82.02,-3.13,-4.0728,209.8525,190.6777,7.2218,1,-1,0,-1,-1,0,0,1,1,-1
VIST,Vista Energy,64.45,HOLD,-1,-2,1,20.72,14.97,29.29,31.9,12.01,10.81,-89.8,-11.1,-2.1148,71.1838,56.2823,2.8797,1,-1,0,-1,-1,0,0,1,1,-1
VOD,Vodafone Group,13.59,HOLD,-1,-2,1,22.83,17.93,43.02,31.38,4.94,4.49,-99.49,-9.7,-0.3148,14.916,13.6518,0.2858,1,-1,0,-1,-1,0,0,1,1,-1
JD,JD.com Inc,25.345,HOLD,-1,-3,2,26.6,19.05,44.95,26.68,14.63,9.27,-82.89,-10.91,-1.1957,29.5529,29.3049,0.746,1,-1,-1,-1,-1,0,1,1,1,-1
SLB,Schlumberger Ltd,46.615,HOLD,-1,-3,2,34.05,10.58,35.45,28.67,9.82,9.29,-93.25,-16.02,-2.2734,54.0746,44.9773,1.6678,1,-1,-1,-1,-1,0,1,1,1,-1
TTE,TotalEnergies SE,78.32,HOLD,-1,-3,2,29.31,10.97,40.8,27.61,6.29,4.5,-87.71,-11.41,-3.1115,88.1256,74.3097,1.7971,1,-1,-1,-1,-1,0,1,1,1,-1
EONGY,E.ON SE,20.62,SELL,-2,-1,-1,12.29,24.26,29.58,45.25,50.09,37.83,-43.58,-0.91,-0.2597,21.2574,20.2751,0.4178,1,0,0,-1,-1,0,0,0,0,-1
PSX,Phillips 66,176.145,SELL,-2,-1,-1,13.79,26.78,21.42,53.2,39.56,30.94,-44.95,-3.07,-1.113,172.8777,151.7145,5.3109,1,0,0,-1,-1,0,0,0,0,-1
PG,Procter & Gamble,147.975,SELL,-2,-1,-1,17.28,22.54,23.4,50.89,49.32,64.33,-60.94,-0.72,1.2858,145.7837,147.9954,2.9551,-1,0,0,-1,1,0,0,0,0,-1
SPGI,S&P Global Inc,408.81,SELL,-2,-1,-1,11.5,18.62,23.18,46.62,23.88,15.64,-63.59,-4.12,-4.2724,420.5398,463.6525,12.3806,-1,0,0,-1,1,0,0,0,0,-1
TWLO,Twilio Inc,198.68,SELL,-2,-1,-1,22.44,19.7,21.03,53.62,33.96,22.97,-43.85,-4.06,-0.1575,187.3622,138.328,10.6347,1,0,0,-1,-1,0,0,0,0,-1
AAPL,Apple Inc,282.08,SELL,-2,-2,0,25.44,13.75,26.43,40.12,18.41,16.18,-70.95,-3.26,-2.8778,291.805,269.5399,8.147,1,0,-1,-1,-1,0,0,1,0,-1
AVGO,Broadcom Inc,369.1,SELL,-2,-2,0,20.08,18.01,31.75,41.31,12.55,14.27,-84.05,-0.81,-10.8831,411.378,360.5746,19.1989,1,-1,0,-1,-1,0,0,0,1,-1
CVX,Chevron Corp,168.58,SELL,-2,-2,0,22.78,14.59,37.49,30.66,6.87,8.59,-99.71,-11.18,-4.4864,184.325,170.8388,4.0269,1,-1,0,-1,-1,0,0,0,1,-1
SBS,Cia Saneamento Basico,5.745,SELL,-2,-2,0,52.18,21.57,36.11,40.74,91.42,82.38,-10.83,7.18,-0.458,5.9693,20.8044,0.2165,-1,0,-1,1,-1,0,0,0,-1,1
XOM,Exxon Mobil,135.58,SELL,-2,-2,0,23.05,16.16,36.57,32.93,8.6,10.73,-96.41,-9.99,-3.9464,148.1306,134.5374,3.5586,1,-1,0,-1,-1,0,0,0,1,-1
IBM,IBM,276.72,SELL,-2,-2,0,19.91,30.98,22.2,56.1,55.79,40.34,-17.21,1.6,2.1926,252.9162,272.4692,12.1884,-1,1,0,-1,-1,0,0,0,-1,1
MCD,McDonald's Corp,266.63,SELL,-2,-2,0,20.46,15.39,26.69,37.88,9.85,10.93,-91.56,-5.62,-3.5775,281.5087,302.128,5.6669,-1,-1,0,-1,1,0,0,0,1,-1
NUE,Nucor Corp,234.18,SELL,-2,-2,0,28.85,20.92,27.84,42.34,14.01,15.72,-98.87,-6.51,1.2353,236.2562,179.3729,8.0099,1,0,-1,-1,-1,0,0,0,1,-1
PAAS,Pan American Silver,44.1299,SELL,-2,-2,0,15.33,21.93,34.38,36.17,10.89,12.06,-96.2,-0.09,-2.3555,52.9468,49.8559,2.4962,1,-1,0,-1,-1,0,0,0,1,-1
PFE,Pfizer Inc,24.395,SELL,-2,-2,0,20.66,13.82,31.5,37.59,17.36,9.91,-73.0,-4.71,-0.4552,25.7798,25.5518,0.5518,1,-1,0,-1,-1,0,0,1,0,-1
RIO,Rio Tinto PLC,93.46,SELL,-2,-2,0,20.19,21.94,44.99,34.74,6.33,6.9,-97.48,-5.65,-2.4719,102.4376,84.9659,2.5334,1,-1,0,-1,-1,0,0,0,1,-1
SCCO,Southern Copper Corp,167.41,SELL,-2,-2,0,13.98,24.44,29.19,39.67,15.02,19.81,-94.91,-0.21,-2.4688,181.1793,161.8592,8.7215,1,-1,0,-1,-1,0,0,0,1,-1
TS,Tenaris SA,56.3,SELL,-2,-2,0,24.23,15.14,35.81,37.09,9.5,10.57,-92.02,-8.41,-1.2546,60.7174,48.2367,1.5326,1,-1,0,-1,-1,0,0,0,1,-1
VALE,Vale SA,14.925,SELL,-2,-2,0,11.42,26.1,34.54,39.54,17.4,17.72,-89.69,-0.03,-0.3092,16.1961,14.1897,0.4201,1,-1,0,-1,-1,0,0,0,1,-1
WMT,Walmart Inc,115.29,SELL,-2,-2,0,19.46,16.23,27.43,36.51,5.16,18.9,-97.45,-4.4,-1.8783,123.9681,116.7022,2.685,1,-1,0,-1,-1,0,0,0,1,-1
BKR,Baker Hughes,56.57,SELL,-2,-3,1,30.78,11.08,31.41,32.74,11.37,11.2,-89.79,-10.23,-2.0742,63.7031,55.3411,1.8611,1,-1,-1,-1,-1,0,0,1,1,-1
BP,BP PLC,37.505,SELL,-2,-3,1,28.81,13.93,41.93,28.71,4.39,4.64,-93.47,-12.68,-1.6522,43.2149,38.5965,1.0383,1,-1,-1,-1,-1,0,1,0,1,-1
BAK,Braskem SA,2.515,SELL,-2,-3,1,31.31,11.92,40.86,24.04,9.54,10.17,-89.83,-31.66,-0.3979,3.8213,3.4054,0.2797,1,-1,-1,-1,-1,0,1,0,1,-1
BNG,Bunge Global SA,0.095,SELL,-2,-3,1,94.9,4.76,95.24,4.76,66.67,88.89,-100.0,-99.96,-13.4248,236.1479,189.0882,20.48,1,0,-1,-1,-1,-1,1,0,1,-1
E,ENI SPA,46.61,SELL,-2,-3,1,31.57,14.54,51.8,27.31,8.26,12.73,-90.52,-14.07,-1.9123,52.9313,43.8968,1.3543,1,-1,-1,-1,-1,0,1,0,1,-1
HAL,Halliburton Co,34.31,SELL,-2,-3,1,33.56,11.52,35.21,31.65,11.68,10.42,-89.2,-13.64,-1.5792,39.3155,32.4219,1.1389,1,-1,-1,-1,-1,0,0,1,1,-1
PBR,Petrobras,16.25,SELL,-2,-3,1,34.6,13.48,37.77,26.64,7.04,12.05,-97.41,-10.27,-0.7948,19.2036,15.6308,0.4739,1,-1,-1,-1,-1,0,1,0,1,-1
SHEL,Shell PLC,76.75,SELL,-2,-3,1,25.63,16.82,41.72,26.71,3.04,5.03,-96.86,-10.81,-2.4105,84.8233,78.9708,1.5596,1,-1,-1,-1,-1,0,1,0,1,-1
TSLA,Tesla Inc,397.455,SELL,-2,-3,1,17.07,22.74,25.5,49.04,29.13,15.36,-42.17,4.16,-6.9342,404.9361,418.213,16.9479,-1,0,0,-1,-1,0,0,0,0,1
AEM,Agnico Eagle Mines,153.17,SELL,-2,-4,2,23.13,20.47,36.67,37.11,15.32,16.56,-92.16,0.45,-6.5165,179.2224,184.6661,7.2549,-1,-1,0,-1,-1,0,0,0,1,1
CDE,Coeur Mining,16.025,SELL,-2,-4,2,14.49,22.33,28.81,41.99,19.95,17.71,-79.75,3.99,-0.5574,17.9359,18.9731,1.119,-1,-1,0,-1,-1,0,0,1,0,1
DIS,Walt Disney Co,99.2,SELL,-2,-4,2,13.46,15.56,20.21,44.01,11.52,26.12,-80.39,0.6,-0.6405,102.6196,106.3701,2.2923,-1,-1,0,-1,-1,0,0,0,1,1
GOOGL,Alphabet Inc,350.195,SELL,-3,-2,-1,20.05,17.98,26.86,43.38,26.32,19.87,-56.34,-1.74,-7.0614,369.415,314.1916,12.0821,1,-1,0,-1,-1,0,0,0,0,-1
ADP,Automatic Data Processing,225.61,SELL,-3,-2,-1,16.99,21.02,18.07,56.06,45.07,33.77,-33.07,-1.63,0.9637,215.583,238.4436,5.9378,-1,1,0,-1,-1,0,0,0,0,-1
CSCO,Cisco Systems,116.24,SELL,-3,-2,-1,26.97,15.86,25.04,49.12,18.82,20.37,-70.25,-2.15,1.6739,109.3202,83.7105,3.9686,1,0,-1,-1,-1,0,0,0,0,-1
AGRO,Adecoagro SA,9.58,SELL,-3,-3,0,34.4,16.49,36.06,32.98,16.37,11.19,-78.16,-15.07,-0.9224,12.2483,9.9385,0.5169,1,-1,-1,-1,-1,0,0,1,0,-1
ADBE,Adobe Inc,208.585,SELL,-3,-3,0,24.89,24.25,35.03,41.71,19.61,12.82,-66.51,-10.62,-12.7749,237.0553,290.7437,9.5334,-1,0,0,-1,-1,0,0,1,0,-1
BSBR,Banco Santander Brasil,5.235,SELL,-3,-3,0,15.17,19.82,25.66,42.71,18.94,13.41,-71.28,-0.85,-0.0928,5.5531,5.9291,0.1334,-1,-1,0,0,-1,0,0,1,0,-1
